customer_id,segment_id,age,account_tenure_years,annual_income,savings_rate,avg_monthly_balance,num_products,digital_engagement_score,branch_visits_per_month,transactions_per_month,credit_utilization_rate,credit_score,loan_to_income,loan_amount,interest_rate_pct,overdraft_count_12m,fees_ytd,satisfaction_score,churn_12m,default_12m
1,1,35,2.3836987408817305,101414.43183440735,0.1059769650986157,11652.886881070017,5,67.14603559959055,1,80,0.509501239081878,683.4405412736767,0.5526611715136106,63837.08704725574,13.990924857753056,2,142.07898566013162,62.22048287813434,0,1
2,1,52,5.189905077001839,89242.36700378676,0.1496284550440579,9516.979089697965,3,72.2085142906047,1,83,0.4123757796581508,681.2238660407945,0.383908719883662,31741.43459043986,14.57765492792692,2,121.54911985743658,66.7545890271359,0,1
3,1,49,5.758513661999334,62751.53179313599,0.1336156094898329,9584.732861136838,2,67.88176055123796,4,68,0.4507621750547313,622.0086471436578,0.3094754443534807,17728.79030168482,15.504926880987409,0,26.396474841162792,85.87533086057779,0,0
4,2,53,6.43578209339283,155870.459192781,0.1351786685927202,20378.18679767128,4,38.73575484370895,2,54,0.4495295779255547,847.25,0.3171200362461405,45753.59455775297,8.661944844250733,0,93.66649635664088,86.22436051566719,0,0
5,1,33,2.676069269891957,157987.67223353832,0.1773936107564427,28069.32072219725,2,70.91312050956398,4,83,0.5584928749844535,814.9791338562388,0.4361619202335314,69218.35486633552,10.131581840632526,2,110.70550426241792,86.08676062442531,0,0
6,1,58,6.861683033005801,93999.62989525493,0.2264235372723076,20316.73086754729,5,45.59815550434398,0,67,0.178661188223074,762.5414795796064,0.1386240077548937,12597.858049764838,12.022374472879845,4,171.33100446109023,54.53058484144552,1,0
7,0,32,1.7817901790161257,35663.20886988009,0.255985787710267,8783.817380575621,1,78.13234444752969,1,78,0.0615042879001988,587.5864228534473,0.26645188006915,9531.4562589443,15.681017371212988,0,0.0,81.5407995282337,0,0
8,1,44,4.441815154613352,86106.9190455598,0.2139673579617725,18070.35386659847,5,51.26632959663951,3,81,0.2386089818050929,739.0202824312607,0.1250385220293139,9917.492924700022,11.280436885387635,2,175.79119150549388,72.40219471478075,0,1
9,1,40,3.3806980014870405,64378.290460244825,0.1232459406566372,6278.030486435047,4,75.94945784564243,1,86,0.4571588831340116,639.4665658097631,0.3462682539278768,24869.40154874957,15.128133785096551,2,111.42410570508623,68.5685315483265,1,0
10,1,59,6.2956409247496525,48818.02694327466,0.030818531646172,1216.9061820699749,2,60.24869269152901,0,76,0.133106134960051,607.6021466367858,0.2179965525016859,11044.340070910772,15.805998782814584,0,24.54936219922828,85.7546949043777,0,0
